Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Price,Location
472 Yucca Dr NW,4 Beds,3 Baths,"2,736 sqft",Year Built: 1965,2 Car Garage,"$375,000",Albuquerque
Park Place Plan in Inspiration - Apex Series by Pulte Homes,4 Beds,3 Baths,"2,932 sqft",Year Built: 2023,No Info,"$446,990+",Albuquerque
10448 Venticello Dr NW,4 Beds,3 Baths,"2,948 sqft",Year Built: 2004,3 Car Garage,"$500,000",Albuquerque
8112 Summerfield Ct SW,3 Beds,2 Baths,"1,407 sqft",Year Built: 1998,2 Car Garage,"$265,000",Albuquerque
Sunflower Plan in Rainbow Canyon by Centex Homes,3 Beds,3 Baths,"2,198 sqft",Year Built: 2023,No Info,"$405,990+",Albuquerque
10908 Esmeralda Dr NW,4 Beds,3 Baths,"2,053 sqft",Year Built: 2017,2 Car Garage,"$330,000",Albuquerque
413 12th Ave  SE,,,,,No Info,"$30,000",Albuquerque
409 12th Ave  SE,,,,,No Info,"$30,000",Albuquerque
1712 Mount Hood Trl  NW,6 Beds,5 Baths,"4,529 sqft",Year Built: 2023,3 Car Garage,"$839,375",Albuquerque
1709 Mount Hood Trl  NW,5 Beds,4 Baths,"3,501 sqft",Year Built: 2023,2 Car Garage,"$725,000",Albuquerque
1704 Mount Hood Trl,5 Beds,4 Baths,"3,550 sqft",Year Built: 2023,4 Car Garage,"$750,000",Albuquerque
6200 Lola Dr NE,4 Beds,3 Baths,"2,206 sqft",Year Built: 1973,2 Car Garage,"$360,000",Albuquerque
10720 Sabino Loop,3 Beds,2 Baths,"1,289 sqft",,2 Car Garage,"$303,990",Albuquerque
10716 Sabino Loop,4 Beds,2 Baths,"1,602 sqft",,Garage,"$328,090",Albuquerque
11724 Tivoli Ave NE,4 Beds,2 Baths,"2,130 sqft (on 0.25 acres)",Year Built: 1967,2 Car Garage,"$465,000",Albuquerque
712 Vista Del Pueblo St SW,3 Beds,2 Baths,"1,438 sqft",Year Built: 1995,2 Car Garage,"$229,000",Albuquerque
10300 San Gabriel Rd NE,4 Beds,2 Baths,"1,606 sqft",Year Built: 1963,2 Car Garage,"$375,000",Albuquerque
715 Marquette Ave NW,3 Beds,2 Baths,"2,250 sqft",Year Built: 1928,No Info,"$395,000",Albuquerque
The Anne Plan in Durango at The Trails by Abrazo Homes,4 Beds,2 Baths,"1,969 sqft",Year Built: 2023,No Info,"$540,000+",Albuquerque
Theresa Rd   SW,,,,,No Info,"$1,010,000",Albuquerque
621 1st St   NE,4 Beds,3 Baths,"2,073 sqft (on 0.50 acres)",Year Built: 2023,Garage,"$485,000",Albuquerque
Plan 3014 - The Sierra in Los Diamantes by D.R. Horton - Albuquerque,3 Beds,2 Baths,"1,519 sqft",Year Built: 2023,No Info,"$349,990+",Albuquerque
1202 Girard Blvd NE,3 Beds,2 Baths,"1,131 sqft",Year Built: 1931,No Info,"$400,000",Albuquerque
12309 Carmel Ave NE,5 Beds,5 Baths,"6,532 sqft (on 0.89 acres)",Year Built: 1994,3 Car Garage,"$1,100,000",Albuquerque
Dennison Plan in Rainbow Canyon by Centex Homes,4 Beds,3 Baths,"2,415 sqft",Year Built: 2023,No Info,"$425,990+",Albuquerque
The Norma Plan in Ascension by Abrazo Homes,3 Beds,3 Baths,"2,392 sqft",Year Built: 2023,No Info,"$753,870+",Albuquerque
132 Kenyan Pl NW,3 Beds,3 Baths,"2,272 sqft (on 0.45 acres)",Year Built: 2004,2 Car Garage,"$485,000",Albuquerque
4209 Ridgerunner Rd NW,5 Beds,3 Baths,"2,912 sqft",Year Built: 2001,3 Car Garage,"$475,000",Albuquerque
7605 Wells Fargo Trl NW,3 Beds,2 Baths,"1,851 sqft",Year Built: 1984,2 Car Garage,"$339,900",Albuquerque
Address Not Disclosed,5 Beds,8 Baths,"13,000 sqft (on 2.76 acres)",Year Built: 2007,6 Car Garage,"$5,500,000",Albuquerque
419 Bethel Dr SE,3 Beds,1 Bath,"1,300 sqft",Year Built: 1987,Garage,"$200,000",Albuquerque
5645 Knight Rd NE,2 Beds,2 Baths,"1,930 sqft",Year Built: 1972,2 Car Garage,"$350,000",Albuquerque
The Tulum Plan in Las Residencias by Abrazo Homes,3 Beds,2 Baths,"1,527 sqft",Year Built: 2023,No Info,"$360,970+",Albuquerque
639 Turmalina Loop,3 Beds,2 Baths,"1,420 sqft",,2 Car Garage,"$359,990",Albuquerque
The Mazatlan Plan in Las Residencias by Abrazo Homes,3 Beds,3 Baths,"2,099 sqft",Year Built: 2023,No Info,"$391,970+",Albuquerque
