Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Price,Location
3831 Overpark Rd,4 Beds,4 Baths,"2,594 sqft",Year Built: 1986,2 Car Garage,"$2,195,000",San Diego
8065 Doug Hl,4 Beds,5 Baths,"4,655 sqft (on 1.62 acres)",Year Built: 2009,3 Car Garage,"$4,595,000",San Diego
1388 Kettner Blvd #708,2 Beds,2 Baths,"1,386 sqft",Year Built: 2019,Garage,"$1,425,000",San Diego
3225 Newell St #6,3 Beds,2 Baths,"1,347 sqft",Year Built: 1985,Garage,"$939,000",San Diego
3880 Chippewa Ct,4 Beds,3 Baths,"1,942 sqft",Year Built: 1955,Garage,"$1,417,888",San Diego
230 W  Laurel St #505,3 Beds,2 Baths,"1,866 sqft",Year Built: 1984,Garage,"$999,000",San Diego
5252 Balboa Arms Dr #161,2 Beds,2 Baths,820 sqft (on 1.67 acres),Year Built: 1995,Garage,"$579,000",San Diego
8083 Run Of The Knls,3 Beds,4 Baths,"3,221 sqft (on 0.63 acres)",Year Built: 2003,3 Car Garage,"$3,149,000",San Diego
4444 W  Point Loma Blvd #74,1 Bed,1 Bath,725 sqft,Year Built: 1966,1 Parking Spaces,"$449,000",San Diego
2411 Blackton Dr,3 Beds,3 Baths,"1,844 sqft",Year Built: 1959,Garage,"$839,999",San Diego
7403 La Mantanza,4 Beds,4 Baths,"3,854 sqft (on 0.28 acres)",Year Built: 2003,3 Car Garage,"$2,689,000",San Diego
5050 A St #13,3 Beds,2 Baths,990 sqft,Year Built: 1997,1 Open Spaces,"$440,000",San Diego
3967 Nobel Dr #257,Studio,1 Bath,420 sqft,Year Built: 1987,Garage,"$439,900",San Diego
1235 Parker Pl #F,2 Beds,2 Baths,"1,044 sqft",Year Built: 1974,Garage,"$1,995,000",San Diego
764 F Ave,3 Beds,3 Baths,"1,905 sqft",Year Built: 2018,2 Car Garage,"$2,498,000",San Diego
13259 Via San Lorenza Dr,3 Beds,3 Baths,"1,707 sqft",Year Built: 2003,2 Car Garage,"$1,195,000",San Diego
13283 Rancho Penasquitos Blvd #J204,1 Bed,1 Bath,602 sqft,Year Built: 1992,Garage,"$439,000",San Diego
3512 Dickens St,3 Beds,3 Baths,"2,350 sqft",Year Built: 1954,Garage,"$1,995,000",San Diego
4850 69th Pl,4 Beds,2 Baths,"1,624 sqft",Year Built: 1953,Garage,"$859,000",San Diego
5835 Caminito Del Estio,3 Beds,3 Baths,"2,236 sqft",Year Built: 1987,2 Car Garage,"$1,645,000",San Diego
8118 Gilman Ct,4 Beds,4 Baths,"3,397 sqft",Year Built: 1999,3 Car Garage,"$2,350,000",San Diego
7036 Park Mesa Way #32,2 Beds,1 Bath,880 sqft,Year Built: 1980,Garage,"$520,000",San Diego
3161-63 Imperial Ave,2 Beds,2 Baths,880 sqft,Year Built: 1953,Garage,"$1,300,000",San Diego
421 17th St,3 Beds,3 Baths,"1,315 sqft",Year Built: 2000,Garage,"$1,499,000",San Diego
4064 Huerfano Ave #253,2 Beds,1 Bath,852 sqft,Year Built: 1972,Garage,"$480,000",San Diego
1325 Pacific Hwy #403,2 Beds,2 Baths,"1,324 sqft",Year Built: 2009,Garage,"$1,050,000",San Diego
7902 Shorewood Dr,5 Beds,2 Baths,"1,733 sqft",Year Built: 1962,4 Car Garage,"$779,000",San Diego
9960 Scripps Vista Way #118,3 Beds,3 Baths,"1,352 sqft",Year Built: 1994,2 Car Garage,"$785,000",San Diego
885 Armada Ter,3 Beds,4 Baths,"2,362 sqft",Year Built: 1968,Garage,"$2,975,000",San Diego
18614 Caminito Cantilena #324,1 Bed,1 Bath,716 sqft,Year Built: 1993,Carport,"$470,000",San Diego
13087 Old West Ave,5 Beds,3 Baths,"2,518 sqft",Year Built: 1977,2 Car Garage,"$1,350,000",San Diego
8178 Avenida Navidad #12,2 Beds,2 Baths,"1,084 sqft",Year Built: 1987,Garage,"$799,999",San Diego
2500 Torrey Pines Rd #1201,2 Beds,2 Baths,"1,344 sqft",Year Built: 1973,Garage,"$1,475,000",San Diego
5525 Norwich St,4 Beds,1 Bath,"1,242 sqft",Year Built: 1961,1 Car Garage,"$879,000",San Diego
7241 Skyline Dr,4 Beds,2 Baths,"1,405 sqft",Year Built: 1960,2 Car Garage,"$625,000",San Diego
11595 Big Canyon Ln,5 Beds,5 Baths,"4,298 sqft (on 0.37 acres)",Year Built: 2012,4 Car Garage,"$2,750,000",San Diego
3055-3057 J St,Studio,,,Year Built: 1922,No Info,"$939,000",San Diego
1845 Titus St,4 Beds,4 Baths,"1,944 sqft",Year Built: 2009,2 Car Garage,"$1,479,000",San Diego
2628 Worden St #147,1 Bed,1 Bath,742 sqft,Year Built: 1969,Garage,"$475,000",San Diego
1430 Coolidge St,4 Beds,2 Baths,"1,832 sqft",Year Built: 1946,Garage,"$929,000",San Diego
52 Port Of Spain Rd,4 Beds,3 Baths,"2,293 sqft",Year Built: 1976,2 Car Garage,"$2,095,000",San Diego
16755 Coyote Bush Dr #30,4 Beds,4 Baths,"2,173 sqft",Year Built: 2019,Garage,"$1,298,000",San Diego
3955 Faircross Pl #45,1 Bed,1 Bath,724 sqft,Year Built: 1985,Garage,"$315,000",San Diego
3030 Suncrest Dr #509,1 Bed,1 Bath,636 sqft,Year Built: 1972,Garage,"$399,000",San Diego
8850 Villa La Jolla Dr #305,2 Beds,2 Baths,"1,243 sqft",Year Built: 1981,Garage,"$899,000",San Diego
17151 W  Bernardo Dr   W  #202,3 Beds,2 Baths,"1,056 sqft",Year Built: 1994,Garage,"$630,000",San Diego
16383 Avenida Nobleza,4 Beds,3 Baths,"1,934 sqft",Year Built: 1984,2 Car Garage,"$1,074,000",San Diego
1251 Chalcedony St,5 Beds,4 Baths,"3,143 sqft",Year Built: 1980,Garage,"$2,680,000",San Diego
6392 Camino De La Costa,5 Beds,6 Baths,"5,682 sqft (on 0.41 acres)",Year Built: 1961,3 Car Garage,"$16,800,000",San Diego
1319 Thermal Ave,3 Beds,2 Baths,"1,739 sqft",Year Built: 1963,2 Car Garage,"$1,100,000",San Diego
525 11th Ave #1116,1 Bed,2 Baths,969 sqft,Year Built: 2004,Garage,"$600,000",San Diego
5079 Pacifica Dr,3 Beds,3 Baths,"1,920 sqft (on 1 acre)",Year Built: 1965,2 Car Garage,"$2,495,000",San Diego
5507 Limerick Ave,3 Beds,2 Baths,"1,221 sqft",Year Built: 1964,2 Car Garage,"$1,049,000",San Diego
4546 Leathers St,6 Beds,4 Baths,"2,493 sqft",Year Built: 1974,2 Car Garage,"$2,195,000",San Diego
4205 Ohio St #304,2 Beds,2 Baths,840 sqft,Year Built: 1990,Garage,"$599,000",San Diego
4451 Via Amable,3 Beds,3 Baths,"1,764 sqft",Year Built: 1981,Garage,"$1,295,000",San Diego
2574 Caminito Muirfield,4 Beds,5 Baths,"3,717 sqft",Year Built: 1977,3 Car Garage,"$2,978,000",San Diego
3492 National Ave,6 Beds,6 Baths,"2,456 sqft",Year Built: 2008,Garage,"$1,199,000",San Diego
3223-3225 Idlewild Way,4 Beds,3 Baths,"1,600 sqft",Year Built: 1954,2 Car Garage,"$1,199,900",San Diego
4377 McClintock St,6 Beds,5 Baths,"2,460 sqft",Year Built: 1925,Garage,"$1,650,000",San Diego
3762-64 36th St,6 Beds,3 Baths,"2,396 sqft",Year Built: 1937,No Info,"$1,550,000",San Diego
5030 Via Papel,4 Beds,2 Baths,"2,195 sqft",Year Built: 1973,2 Car Garage,"$1,350,000",San Diego
12150 Dormouse Rd,5 Beds,3 Baths,"3,668 sqft (on 0.25 acres)",Year Built: 1993,3 Car Garage,"$1,700,000",San Diego
14076 Pebble Brook Ln,3 Beds,3 Baths,"1,490 sqft",Year Built: 1987,2 Car Garage,"$1,075,000",San Diego
5219 Caminito Jubilo,2 Beds,3 Baths,"1,618 sqft",Year Built: 1978,Garage,"$849,000",San Diego
723-725 Balboa Ct,6 Beds,5 Baths,"2,625 sqft",Year Built: 1992,Garage,"$2,995,000",San Diego
7135 Fay Ave,3 Beds,4 Baths,"2,759 sqft",Year Built: 2002,2 Car Garage,"$2,495,000",San Diego
3620 Mission Montana Dr,3 Beds,3 Baths,"1,589 sqft",Year Built: 1983,2 Car Garage,"$899,000",San Diego
680 Camino De La Reina #2313,3 Beds,2 Baths,"1,330 sqft (on 1.88 acres)",Year Built: 1995,Garage,"$691,000",San Diego
4577 New York St,4 Beds,3 Baths,"2,026 sqft",Year Built: 1921,Garage,"$1,700,000",San Diego
6243 Dowling Dr,3 Beds,2 Baths,"1,734 sqft",Year Built: 1945,Garage,"$2,468,000",San Diego
J 6112th St,6 Beds,3 Baths,,Year Built: 1922,Garage,"$939,000",San Diego
1099 1st St #321,2 Beds,3 Baths,"1,841 sqft",Year Built: 1987,Garage,"$1,795,000",San Diego
6753-6753 N  Elman St   #59,10 Beds,9 Baths,"4,146 sqft",Year Built: 2023,No Info,"$2,700,000",San Diego
3336 Mohican Ave,3 Beds,2 Baths,"1,824 sqft",Year Built: 1953,1 Car Garage,"$1,450,000",San Diego
12098 Caminito Corriente,3 Beds,2 Baths,"2,161 sqft",Year Built: 1986,2 Car Garage,"$1,250,000",San Diego
15495 Bristol Ridge Ter,3 Beds,3 Baths,"1,930 sqft",Year Built: 2007,2 Car Garage,"$1,299,900",San Diego
2382 Grand Ave,1 Bed,1 Bath,722 sqft (on 1.04 acres),Year Built: 1975,Garage,"$497,000",San Diego
12350 Springwater Poin,3 Beds,3 Baths,"1,425 sqft",Year Built: 1993,2 Car Garage,"$924,900",San Diego
8498 Blackburn Ln,5 Beds,5 Baths,"3,834 sqft",Year Built: 2011,2 Car Garage,"$2,300,000",San Diego
2930 Cowley Way #211,2 Beds,2 Baths,"1,362 sqft",Year Built: 1982,Garage,"$699,000",San Diego
3965 Newton Ave,5 Beds,2 Baths,"1,872 sqft",Year Built: 1953,Garage,"$750,000",San Diego
9986 Via Daroca,4 Beds,2 Baths,"1,344 sqft",Year Built: 1973,Garage,"$979,000",San Diego
11347 Merritage Ct,4 Beds,4 Baths,"3,110 sqft",Year Built: 2005,3 Car Garage,"$1,599,000",San Diego
6282 Belmont Trail Ct,5 Beds,5 Baths,"4,433 sqft (on 0.45 acres)",Year Built: 2014,3 Car Garage,"$4,499,999",San Diego
4478 Monaco St,5 Beds,3 Baths,"3,427 sqft",Year Built: 1980,2 Car Garage,"$3,025,000",San Diego
888 E St   #3504,3 Beds,3 Baths,"2,450 sqft",Year Built: 2018,Garage,"$3,695,000",San Diego
1845 Sheridan Ave,4 Beds,3 Baths,"1,932 sqft",Year Built: 1924,1 Car Garage,"$1,889,000",San Diego
5036 Old Cliffs Rd,2 Beds,2 Baths,"1,440 sqft",Year Built: 1970Year Renovated: 2023,No Info,"$199,000",San Diego
6176 Avenida Alteras,6 Beds,6 Baths,"6,588 sqft",Year Built: 1988,3 Car Garage,"$6,595,000",San Diego
10765 Elderwood Ln,4 Beds,3 Baths,"2,225 sqft",Year Built: 1986,Garage,"$1,995,000",San Diego
11846 Cypress Valley Dr,4 Beds,3 Baths,"2,271 sqft",Year Built: 1999,2 Car Garage,"$1,498,000",San Diego
3412 Yonge St,5 Beds,3 Baths,"2,184 sqft",Year Built: 1939,Garage,"$1,595,000",San Diego
2930 Cowley Way #203,2 Beds,2 Baths,"1,362 sqft",Year Built: 1982,Garage,"$719,900",San Diego
