Address,Bedrooms,Bathrooms,Area(sqft),Year Built,Parking,Price($),Location,Price/Sqft
5750 Corinth Dr,4,3,2150,1997,yes,495000,Colorado Springs,230.23
5250 Quill Dr,4,2,1889,1992,yes,459900,Colorado Springs,243.46
7329 Running Deer Way,3,3,1676,2011,yes,450000,Colorado Springs,268.5
9625 Blue Bonnet Ct,6,6,5969,2004,yes,1150000,Colorado Springs,192.66
6743 Cabin Creek Drive,5,4,3872,2001,yes,635000,Colorado Springs,164.0
3950 Hamlet Rd,4,2,1597,1970,yes,375000,Colorado Springs,234.82
6020 Fescue Dr,3,3,2025,1997,yes,445000,Colorado Springs,219.75
8280 Horn Run Rd,4,4,2802,1996,yes,490000,Colorado Springs,174.88
7477 Legend Hill Dr,4,3,2610,2006,yes,550000,Colorado Springs,210.73
9568 Feathergrass Dr,4,3,3035,2023,yes,644702,Colorado Springs,212.42
5684 Flicka Dr,3,4,3056,2007,yes,605000,Colorado Springs,197.97
7323 Hunter Jumper Dr,3,3,1839,2021,yes,475000,Colorado Springs,258.29
1155 Charles Grv,6,7,7851,2008,yes,2695000,Colorado Springs,343.27
540 Spring Creek Ct,4,4,2682,1983,yes,515000,Colorado Springs,192.02
6969 Maidford Dr,4,3,2194,2021,yes,470000,Colorado Springs,214.22
2921 Magic Carpet Loop,3,3,1727,2023,yes,399000,Colorado Springs,231.04
1450 Rock Ridge Ct,5,3,3248,1978,yes,600000,Colorado Springs,184.73
5658 Mammoth Ln,3,3,1464,2023,yes,429997,Colorado Springs,293.71
4441 Millburn Dr,4,2,1666,1980,yes,389900,Colorado Springs,234.03
9503 Newport Plum Ct,4,3,3162,2003,yes,665000,Colorado Springs,210.31
6580 Delmonico Dr #203,3,2,1406,1973,yes,315000,Colorado Springs,224.04
5149 Roundhouse Dr,3,3,1597,2023,yes,434390,Colorado Springs,272.0
5129 Beartrack Poin,3,3,2108,2023,yes,483540,Colorado Springs,229.38
1310 Yosemite Dr,3,3,1814,1963,yes,285000,Colorado Springs,157.11
8325 Ilex Dr,3,2,1570,1986,yes,380000,Colorado Springs,242.04
4822 Herndon Cir,3,3,1458,1986,yes,395000,Colorado Springs,270.92
6162 Dancing Moon Way,3,3,2240,2010,yes,410000,Colorado Springs,183.04
7646 Dutch Loop,4,3,2222,2014,yes,430000,Colorado Springs,193.52
265 Raven Hills Rd,4,3,2501,1971,yes,575000,Colorado Springs,229.91
1055 Bayfield Dr,4,3,3490,2005,yes,725000,Colorado Springs,207.74
602 E  San Miguel St,2,1,1084,1904,no,389999,Colorado Springs,359.78
3405 Sinton Rd #193,3,3,1468,1978,yes,130000,Colorado Springs,88.56
2490 Marston Hts,5,3,3248,1997,yes,664000,Colorado Springs,204.43
3008 Springdowns Pl,4,4,3703,1978,yes,1000000,Colorado Springs,270.05
2222 E  Fountain Blvd,3,1,1440,1968,yes,350000,Colorado Springs,243.06
2055 N  Academy Blvd,3,2,1820,1976,yes,330000,Colorado Springs,181.32
4625 N Carefree Circle,8,4,3088,1972,yes,999995,Colorado Springs,323.83
