Address,Bedrooms,Bathrooms,Area(sqft),Year Built,Parking,Price($),Location,Price/Sqft
6253 Chantilly Pl,2,1,992,1985,yes,335000,Colorado Springs,337.7
359 Avocet Loop,5,3,2570,2003,yes,515000,Colorado Springs,200.39
1135 Hubbell Dr,4,3,2084,1988,yes,415000,Colorado Springs,199.14
5906 Harney Dr,4,3,3400,2010,yes,680000,Colorado Springs,200.0
10525 Castor Dr,4,3,1894,2021,yes,470000,Colorado Springs,248.15
1188 Magnolia Street,4,4,1020,1973,yes,525000,Colorado Springs,514.71
4103 Diamond Ridge Vw,3,3,1486,2004,yes,379900,Colorado Springs,255.65
6861 Oak Vine Ct,4,3,2759,2017,yes,600000,Colorado Springs,217.47
5976 Longford Way,4,3,3547,2021,yes,625000,Colorado Springs,176.21
The Crestone Plan in Chapel Heights by Challenger Homes,3,3,1727,2023,no,404900,Colorado Springs,234.45
3335 Galleria Ter,3,2,1202,1986,yes,360000,Colorado Springs,299.5
590 Thames Dr,6,4,3317,1982,yes,750000,Colorado Springs,226.11
6656 Enclave Vista Loop,5,4,4080,2021,yes,780000,Colorado Springs,191.18
1305 Eastmeadow Ct,4,3,2620,1995,yes,485000,Colorado Springs,185.11
9420 Broken Bow Ct,4,2,2972,1983,yes,574999,Colorado Springs,193.47
2039 Alperton Hts,3,3,1940,2019,yes,415000,Colorado Springs,213.92
13035 Cake Bread Hts,3,3,3092,2012,yes,676000,Colorado Springs,218.63
Lovell Plan in élan at Wolf Ranch by Toll Brothers,2,2,4325,2023,no,725995,Colorado Springs,167.86
5595 Cisco Dr,4,3,3376,2015,yes,639000,Colorado Springs,189.28
2530 Paseo Verde,2,2,1978,1984,yes,679900,Colorado Springs,343.73
10 Woodmen Ln,8,7,9746,1976,yes,2650000,Colorado Springs,271.91
10886 Matt Point,3,3,2223,2019,yes,470000,Colorado Springs,211.43
Lapis Plan in The Trails at Aspen Ridge by Richmond American Homes,3,3,2187,2023,no,432950,Colorado Springs,197.97
270 Eagle Summit Pt   #101,3,3,2175,2023,yes,555000,Colorado Springs,255.17
203 Farragut Ave,4,2,2048,1951,yes,675000,Colorado Springs,329.59
417 E  Kiowa St #1103,1,2,980,1962,yes,364900,Colorado Springs,372.35
6080 Griffin Dr,4,3,3793,2018,yes,785000,Colorado Springs,206.96
508 Rose Dr,3,1,1116,1959,yes,350000,Colorado Springs,313.62
4344 Chamberlin Ave,3,2,1225,1973,yes,300000,Colorado Springs,244.9
6946 Maidford Dr,3,2,1306,2021,yes,450000,Colorado Springs,344.56
3223 Heather Glen Dr,3,3,2438,1998,yes,460000,Colorado Springs,188.68
340 Mission Hill Way,3,4,2160,1984,yes,475000,Colorado Springs,219.91
8360 Hardwood Cir,4,4,3306,2014,yes,550000,Colorado Springs,166.36
7834 Sandsmere Dr,4,3,2848,2017,yes,534900,Colorado Springs,187.82
The Monte Rosa Plan in Revel at Wolf Ranch by Challenger Homes,5,3,4354,2023,no,562900,Colorado Springs,129.28
10275 Kentwood Dr,5,4,4230,2020,yes,925000,Colorado Springs,218.68
Providence II Plan in Greenways at Sand Creek by Classic Homes,4,3,2744,2023,yes,545800,Colorado Springs,198.91
1028 Florence Ave,4,1,1560,1957,no,375000,Colorado Springs,240.38
9753 Borderpine Way,3,2,1648,2020,yes,425000,Colorado Springs,257.89
10236 Wrangell Cir,4,3,3688,2021,yes,625000,Colorado Springs,169.47
6360 Tranters Creek Way,4,4,2963,2012,yes,520000,Colorado Springs,175.5
Brentwood Plan in TimberRidge by Vantage Homes,5,4,3718,2023,yes,705100,Colorado Springs,189.64
7430 Pine Cone Rd,4,3,2508,1994,yes,750000,Colorado Springs,299.04
4176 Cherryvale Dr,5,3,4001,2000,yes,625000,Colorado Springs,156.21
4359 Parque Vista Point,2,2,1329,2006,yes,325000,Colorado Springs,244.54
Providence II Plan in Wolf Ranch by Classic Homes,4,3,2744,2023,no,547800,Colorado Springs,199.64
Gila Plan in Windermere by Tralon Homes,4,3,2094,2023,yes,505000,Colorado Springs,241.17
Emery Plan in Windermere by Tralon Homes,3,2,1665,2023,yes,489000,Colorado Springs,293.69
Yukon Plan in Windermere by Tralon Homes,4,3,1836,2023,yes,499000,Colorado Springs,271.79
Cumberland Plan in Windermere by Tralon Homes,4,3,2524,2023,yes,525500,Colorado Springs,208.2
Trinity Plan in Windermere by Tralon Homes,3,4,1734,2023,yes,499000,Colorado Springs,287.77
Columbia Plan in Windermere by Tralon Homes,3,2,1898,2023,yes,490000,Colorado Springs,258.17
317 W  Monument St,3,1,1202,1901,yes,395000,Colorado Springs,328.62
9288 Prairie Clover Dr,4,3,2618,2000,yes,520000,Colorado Springs,198.62
2155 Hoodoo Dr,5,4,5104,1997,yes,940000,Colorado Springs,184.17
6215 Wilson Rd,5,4,5035,1998,yes,1095000,Colorado Springs,217.48
311 Pyrite Ter,4,3,3077,2004,yes,575000,Colorado Springs,186.87
6929 Conifer Ridge Dr,6,4,3348,2005,yes,565000,Colorado Springs,168.76
1826 Meadowbrook Pkwy,4,4,3255,2005,yes,490000,Colorado Springs,150.54
8451 Crooked Branch Ln,4,3,3238,2017,yes,625000,Colorado Springs,193.02
Rio Plan in Windermere by Tralon Homes,3,2,1483,2023,yes,479000,Colorado Springs,322.99
12512 Goodson Rd,3,3,2526,2002,yes,900000,Colorado Springs,356.29
3974 Ryedale Way,4,4,3489,2022,yes,561799,Colorado Springs,161.02
16845 Roller Coaster Rd,6,8,11268,2008,yes,4500000,Colorado Springs,399.36
7470 Winding Oaks Dr,4,4,4392,1998,yes,1050000,Colorado Springs,239.07
7573 Halex Grv,3,2,1873,2023,yes,515000,Colorado Springs,274.96
The Waterford Plan in The Townes at Chapel Heights by Challenger Homes,3,3,1671,2023,no,390900,Colorado Springs,233.93
2520 Paseo Verde Dr,6,3,4168,1984,yes,875000,Colorado Springs,209.93
Montello Plan in Red Rocks at Kissing Camels by Toll Brothers,2,3,2974,2023,no,958995,Colorado Springs,322.46
6035 Del Paz Dr,4,2,1978,1977,yes,447000,Colorado Springs,225.99
6635 Big Leaf Ln,4,3,3902,2008,yes,619900,Colorado Springs,158.87
6079 Magma Hts,3,4,2305,2023,yes,466128,Colorado Springs,202.22
6119 Scout Dr,3,3,1860,1996,yes,425000,Colorado Springs,228.49
3280 S Academy Boulevard  Lot 58,3,2,1064,1986,yes,105000,Colorado Springs,98.68
6151 Haymor Grv,3,2,1873,2023,yes,515000,Colorado Springs,274.96
224 Plan in Greenways at Sand Creek by Classic Homes,4,4,2130,2023,no,495000,Colorado Springs,232.39
3667 Venice Grv,3,3,2401,2003,yes,355000,Colorado Springs,147.86
Henry Plan in The Commons at Victory Ridge by Lokal Homes,3,4,1813,2023,no,504990,Colorado Springs,278.54
Taylor Plan in The Commons at Victory Ridge by Lokal Homes,4,4,2136,2023,no,544990,Colorado Springs,255.15
Oliver Plan in The Commons at Victory Ridge by Lokal Homes,4,4,1932,2023,no,514990,Colorado Springs,266.56
Clark Plan in The Commons at Victory Ridge by Lokal Homes,2,3,1161,2023,no,424990,Colorado Springs,366.06
Baxter Plan in The Commons at Victory Ridge by Lokal Homes,3,3,1233,2023,no,444990,Colorado Springs,360.9
4411 Kingfisher Poin,3,2,1479,2019,yes,300000,Colorado Springs,202.84
7615 Sun Prairie Dr,5,4,3412,2012,yes,525000,Colorado Springs,153.87
Devonshire Plan in Village Cooperative of Ute Valley (Active Adults 62+) by Village Cooperative,2,2,1439,2023,no,264000,Colorado Springs,183.46
1230 Crown Haven Cir,5,5,4822,2012,yes,925000,Colorado Springs,191.83
7504 Short Grass Ct,5,3,3778,2009,yes,679000,Colorado Springs,179.72
1005 McArthur Ave,2,1,741,1953,yes,285000,Colorado Springs,384.62
6945 Hill Stream Way,6,4,4143,2005,yes,630000,Colorado Springs,152.06
Silverton Plan in Revel at Wolf Ranch by Toll Brothers,4,3,3553,2023,no,629995,Colorado Springs,177.31
Savannah Plan in Greenways at Sand Creek by Classic Homes,3,3,3216,2023,yes,587200,Colorado Springs,182.59
Ashton Plan in Wolf Ranch by Classic Homes,6,5,4507,2023,no,713500,Colorado Springs,158.31
Red Oak by Bonnavilla Plan in Build on Your Lot by Seeger Homes by Seeger Homes,3,2,2255,2023,no,390499,Colorado Springs,173.17
4730 Marabou Way,4,2,2280,1986,yes,410000,Colorado Springs,179.82
1973 Mineola Ct #G,3,3,1440,1982,yes,279900,Colorado Springs,194.38
The Gladstone Plan in Chapel Heights by Challenger Homes,2,3,1108,2023,no,379900,Colorado Springs,342.87
667 La Bourgade Point,3,2,2229,1995,yes,580000,Colorado Springs,260.21
19840 Elk Creek Dr E,3,2,4424,1994,yes,877000,Colorado Springs,198.24
17471 Cabin Hill Ln,4,5,4362,2012,yes,1159900,Colorado Springs,265.91
Urban - Capstone Plan in Timber Ridge by Classic Homes,3,3,2991,2023,no,597300,Colorado Springs,199.7
The Mont Blanc Plan in Revel at Wolf Ranch by Challenger Homes,5,4,4714,2023,no,575900,Colorado Springs,122.17
Citrine Plan in Hansen Ranch by Richmond American Homes,4,3,1964,2023,no,463950,Colorado Springs,236.23
Sundance Plan in Greenways at Sand Creek by Classic Homes,6,5,4004,2023,no,645700,Colorado Springs,161.26
Somerset Plan in Wolf Ranch by Classic Homes,8,7,3867,2023,no,678000,Colorado Springs,175.33
Calista Plan in Revel Crossing at Wolf Ranch - The Ascent Collection by David Weekley Homes,3,3,1827,2023,no,463990,Colorado Springs,253.96
6372 Shooting Iron Way,4,4,2931,2010,yes,585000,Colorado Springs,199.59
Innsbruck Plan in Village Cooperative of Ute Valley (Active Adults 62+) by Village Cooperative,2,2,1381,2023,no,255000,Colorado Springs,184.65
8 Thomas Ln,3,2,1842,1960,yes,650000,Colorado Springs,352.88
Durango Plan in Holiday Village - Colorado by MyMHcommunity,3,2,1152,2023,no,149900,Colorado Springs,130.12
Urban - Hillspire Plan in Timber Ridge by Classic Homes,3,3,3272,2023,yes,618000,Colorado Springs,188.88
Thornberry Plan in Revel Crossing at Wolf Ranch - The Outlook Collection by David Weekley Homes,3,3,2541,2023,no,560990,Colorado Springs,220.78
Yampa Plan in Red Rocks at Kissing Camels by Toll Brothers,4,4,3083,2023,no,968995,Colorado Springs,314.3
2506 Chimayo Dr,3,1,936,1958,no,330000,Colorado Springs,352.56
6452 Deco Dr,4,3,3622,2023,yes,768888,Colorado Springs,212.28
5968 Halter Ct,2,2,3109,2023,yes,550836,Colorado Springs,177.17
2001 N  Weber St,3,2,1787,1893,yes,499900,Colorado Springs,279.74
6815 Quarter Circle Rd,3,3,2444,1994,yes,465000,Colorado Springs,190.26
4112 Samaritan Loop,3,3,1690,2023,yes,449000,Colorado Springs,265.68
Urban - Celebration Plan in Timber Ridge by Classic Homes,3,3,3094,2023,yes,607200,Colorado Springs,196.25
222 Plan in Hannah Ridge by Classic Homes,3,3,1849,2023,no,499149,Colorado Springs,269.96
5192 Roundhouse Dr,4,3,3248,2023,yes,547783,Colorado Springs,168.65
5222 Roundhouse Dr,4,4,3301,2023,yes,557040,Colorado Springs,168.75
6145 Rabbit Ears Ct,5,4,4078,1993,yes,725000,Colorado Springs,177.78
6917 Lakenheath Ln,6,5,4902,2000,yes,1200000,Colorado Springs,244.8
Lapis Plan in Hansen Ranch by Richmond American Homes,3,3,2187,2023,no,470950,Colorado Springs,215.34
Culebra Plan in Revel at Wolf Ranch by Toll Brothers,4,3,3991,2023,no,702995,Colorado Springs,176.15
Oakridge Plan in TimberRidge by Vantage Homes,6,4,4360,2023,yes,692600,Colorado Springs,158.85
1627 Goldpeak Ct,5,3,4582,2000,yes,860000,Colorado Springs,187.69
Colorado by Bonnavilla Plan in Build on Your Lot by Seeger Homes by Seeger Homes,3,2,1661,2023,no,348313,Colorado Springs,209.7
222 Plan in Greenways at Sand Creek by Classic Homes,3,3,1849,2023,no,484100,Colorado Springs,261.82
Urban - Sundance Plan in Timber Ridge by Classic Homes,6,5,4004,2023,no,658200,Colorado Springs,164.39
The Belford Plan in Chapel Heights by Challenger Homes,3,3,1367,2023,no,389900,Colorado Springs,285.22
3133 Starlight Cir,2,2,928,1983,yes,230000,Colorado Springs,247.84
9104 Argentine Pass Trl,5,4,3310,2013,yes,745000,Colorado Springs,225.08
5210 Adana Dr,3,3,3280,2017,yes,484900,Colorado Springs,147.84
Hemingway Plan in The Trails at Aspen Ridge by Richmond American Homes,4,3,2548,2023,no,508950,Colorado Springs,199.74
97 Seagull Circle,5,3,4146,1994,yes,730000,Colorado Springs,176.07
Cameron Plan in Revel at Wolf Ranch by Toll Brothers,2,3,4038,2023,no,693995,Colorado Springs,171.87
3654 Bareback Dr,5,4,2811,1995,yes,477000,Colorado Springs,169.69
The Tralee Plan in The Townes at Lorson Ranch by Challenger Homes,2,3,1436,2023,no,358900,Colorado Springs,249.93
Miramar Plan in Revel Crossing at Wolf Ranch - The Ascent Collection by David Weekley Homes,3,3,1586,2023,no,428990,Colorado Springs,270.49
Evergreen by Bonnavilla Plan in Build on Your Lot by Seeger Homes by Seeger Homes,3,2,1305,2023,no,320880,Colorado Springs,245.89
Urban - Sierra Plan in Timber Ridge by Classic Homes,3,3,2991,2023,yes,616900,Colorado Springs,206.25
2025 Oriole Ave,3,1,1583,1953,yes,409900,Colorado Springs,258.94
10 Iowa Avenue,4,1,2283,1937,yes,400000,Colorado Springs,175.21
Bryanwood Plan in Trailside at Cottonwood Creek by David Weekley Homes,3,3,2445,2023,no,534990,Colorado Springs,218.81
Ponderosa Plan in The Trails at Aspen Ridge by Richmond American Homes,3,2,1521,2023,no,488950,Colorado Springs,321.47
835 Pulpit Rock Cir S,3,3,2097,1981,yes,524900,Colorado Springs,250.31
2109 W  Pikes Peak Ave,2,1,1079,1888,no,385000,Colorado Springs,356.81
685 Popes Valley Dr,4,3,3116,2000,yes,680000,Colorado Springs,218.23
4502 Wintergreen Cir,6,4,2858,1998,yes,480000,Colorado Springs,167.95
3325 Oak Creek Dr E,3,2,2602,1979,yes,450000,Colorado Springs,172.94
10067 Waterton Canyon Way,5,4,4081,2022,yes,969900,Colorado Springs,237.66
Parade Plan in Greenways at Sand Creek by Classic Homes,4,3,2978,2023,no,573400,Colorado Springs,192.55
Easton Plan in Village Cooperative of Ute Valley (Active Adults 62+) by Village Cooperative,2,1,1134,2023,no,202000,Colorado Springs,178.13
Hannah Plan in Wolf Ranch by Classic Homes,8,5,4057,2023,no,681400,Colorado Springs,167.96
5880 Cliffside Ter,4,4,4594,1991,yes,790000,Colorado Springs,171.96
Nokota Plan in TimberRidge by Vantage Homes,6,4,4028,2023,yes,676900,Colorado Springs,168.05
6815 Parkridge Ct,3,1,952,1983,yes,349900,Colorado Springs,367.54
Tamarack by Bonnavilla Plan in Build on Your Lot by Seeger Homes by Seeger Homes,3,2,2255,2023,no,390245,Colorado Springs,173.06
2005 Chamberlin S,3,1,931,1979,yes,299000,Colorado Springs,321.16
6565 Alliance Loop,4,4,2253,2012,yes,445000,Colorado Springs,197.51
4961 Makalu Dr,4,3,2765,2020,yes,599900,Colorado Springs,216.96
10440 Castor Dr,4,4,1979,2021,yes,474900,Colorado Springs,239.97
52 Marland Rd,4,5,6989,1927,yes,4500000,Colorado Springs,643.87
543 Shrubland Dr,4,3,3746,2001,yes,640000,Colorado Springs,170.85
5068 Galloping Goose Way,4,3,2812,2011,yes,639000,Colorado Springs,227.24
The Vinson Plan in The Townes at Cumbre Vista by Challenger Homes,3,3,1762,2023,no,436900,Colorado Springs,247.96
3575 Pony Tracks Dr,4,3,2968,1998,yes,505000,Colorado Springs,170.15
3989 Siferd Blvd #1,4,4,2156,2001,yes,407000,Colorado Springs,188.78
2123 Windwalker Grv,3,3,2862,2012,yes,655000,Colorado Springs,228.86
224 Plan in Hannah Ridge by Classic Homes,4,4,2130,2023,no,518647,Colorado Springs,243.5
3651 Temple St,4,2,1799,1967,yes,375000,Colorado Springs,208.45
4909 Durasno Drive,4,2,1408,1979,yes,375000,Colorado Springs,266.34
2335 Middleton Court,3,2,1241,1982,yes,265000,Colorado Springs,213.54
935 Saturn Dr #213,2,2,1012,1975,yes,215000,Colorado Springs,212.45
4822 Trailmark Loop,3,2,1758,1983,yes,429000,Colorado Springs,244.03
7685 Gibralter Dr,3,2,1914,1982,yes,439900,Colorado Springs,229.83
5042 El Camino Dr #78,2,1,769,1973,yes,205000,Colorado Springs,266.58
6355 Casual Dr,3,3,1856,2003,yes,474000,Colorado Springs,255.39
416 Cobblestone Dr,3,2,2206,1979,yes,400000,Colorado Springs,181.32
411 Lakewood Cir #A1204,1,1,864,1969,no,185000,Colorado Springs,214.12
201 E Las Animas Street,2,2,1276,2001,yes,525000,Colorado Springs,411.44
375 Rock Creek Mesa Rd,3,1,1755,1956,yes,595000,Colorado Springs,339.03
6320 Verrado Pl,4,3,4004,2022,yes,809999,Colorado Springs,202.3
3100 Wood Ave  Unit M5,3,2,1216,2019,yes,139000,Colorado Springs,114.31
Daphne Plan in élan at Wolf Ranch by Toll Brothers,2,2,3490,2023,no,684995,Colorado Springs,196.27
7140 Native Cir,5,4,3892,1992,yes,600000,Colorado Springs,154.16
Ashwood Plan in TimberRidge by Vantage Homes,5,5,3596,2023,yes,708800,Colorado Springs,197.11
1216 Rockwood Ave,3,1,1098,1956,yes,345000,Colorado Springs,314.21
Lexington Plan in Village Cooperative of Ute Valley (Active Adults 62+) by Village Cooperative,2,2,1506,2023,no,278000,Colorado Springs,184.59
15615 Fox Creek Ln,6,6,5536,2002,yes,1339000,Colorado Springs,241.87
139 Wild Grass Way,2,2,2796,2020,yes,480000,Colorado Springs,171.67
Paradise Plan in Wolf Ranch by Classic Homes,7,5,3748,2023,no,648600,Colorado Springs,173.05
15490 Terra Ridge Cir,4,3,3776,1998,yes,1000000,Colorado Springs,264.83
3075 Maroon Bells Ave,4,4,2123,1980,yes,470000,Colorado Springs,221.38
4425 Cassidy St,4,3,2326,1986,yes,440000,Colorado Springs,189.17
7239 Winslow Park Dr,4,3,2980,2020,yes,559900,Colorado Springs,187.89
Joshua by Bonnavilla Plan in Build on Your Lot by Seeger Homes by Seeger Homes,3,2,1899,2023,no,369375,Colorado Springs,194.51
1033 Deschutes Dr,3,3,2432,2013,yes,569965,Colorado Springs,234.36
9786 Coyote Run Trl,5,3,2848,2019,yes,499000,Colorado Springs,175.21
15616 Wildwood Ct,6,4,4591,2003,yes,969900,Colorado Springs,211.26
11484 Piping Plover Pl,3,3,1819,2022,yes,452185,Colorado Springs,248.59
6164 Big Bird Dr,3,3,1878,2022,yes,453060,Colorado Springs,241.25
6165 Big Bird Dr,3,3,1652,2022,yes,443730,Colorado Springs,268.6
6770 Mandan Dr,4,3,2544,2018,yes,460000,Colorado Springs,180.82
3811 Horse Gulch Loop,5,5,3784,2020,yes,938000,Colorado Springs,247.89
5230 Janga Dr,4,2,3524,2020,yes,610000,Colorado Springs,173.1
201 E  Las Animas St #205,2,2,1276,2001,yes,525000,Colorado Springs,411.44
2109 Mount Washington Ave,2,3,1076,1980,yes,315900,Colorado Springs,293.59
311 N  20th St,2,1,894,1900,no,349000,Colorado Springs,390.38
6357 Chagall Trl,5,5,4546,2023,yes,928064,Colorado Springs,204.15
1644 W  Vermijo Ave,3,2,1248,1899,yes,439900,Colorado Springs,352.48
1350 Pleier Dr,5,4,5429,1993,yes,1600000,Colorado Springs,294.71
2423 Camelot Ct,2,2,1464,1970,yes,420000,Colorado Springs,286.89
Amethyst Plan in The Trails at Aspen Ridge by Richmond American Homes,2,2,1422,2023,no,406950,Colorado Springs,286.18
6879 Enclave Vista Loop,4,4,3864,2021,yes,769000,Colorado Springs,199.02
8007 Pennydale Drive,4,3,3138,2023,yes,741342,Colorado Springs,236.25
6715 Summer Grace St,6,3,3336,2002,yes,575000,Colorado Springs,172.36
7734 Sun Shimmer Vw,3,3,2530,2020,yes,474500,Colorado Springs,187.55
5017 Hackamore Dr S,5,3,2310,1973,yes,425000,Colorado Springs,183.98
7999 Pennydale Drive,4,4,3035,2023,yes,741365,Colorado Springs,244.27
7991 Pennydale Drive,4,4,2939,2023,yes,682113,Colorado Springs,232.09
7983 Pennydale Drive,4,4,3457,2023,yes,735603,Colorado Springs,212.79
7975 Pennydale Drive,4,3,2349,2023,yes,628988,Colorado Springs,267.77
Harrington Plan in Village Cooperative of Ute Valley (Active Adults 62+) by Village Cooperative,2,2,1393,2023,no,252000,Colorado Springs,180.9
6774 Alliance Loop,5,4,3345,2012,yes,565000,Colorado Springs,168.91
935 Saturn Dr #112,2,2,1012,1975,yes,220000,Colorado Springs,217.39
518 S  26th St,2,1,960,1994,yes,380000,Colorado Springs,395.83
4420 Green Mountain Dr,3,3,2146,1976,yes,2450000,Colorado Springs,1141.66
3850 Wolcott Pl,4,4,3415,1981,yes,695000,Colorado Springs,203.51
6135 Kettle Fire Trl,3,3,2800,2010,yes,485000,Colorado Springs,173.21
7967 Pennydale Drive,5,5,3035,2023,yes,681865,Colorado Springs,224.67
6082 Mapleton Dr,6,4,3792,1999,yes,599900,Colorado Springs,158.2
6520 Red Feather Dr,5,4,3158,1980,yes,610000,Colorado Springs,193.16
285 Paisley Dr,4,3,3715,2001,yes,925000,Colorado Springs,248.99
6408 Jules Dr,6,4,4584,2004,yes,685000,Colorado Springs,149.43
Onyx Plan in Hansen Ranch by Richmond American Homes,3,2,1581,2023,no,450950,Colorado Springs,285.23
5059 Petrified Forest Trl,4,3,3087,2008,yes,610000,Colorado Springs,197.6
Berkeley Plan in TimberRidge by Vantage Homes,5,4,3625,2023,yes,652500,Colorado Springs,180.0
6033 Cider Mill Pl,4,4,2253,2019,yes,529500,Colorado Springs,235.02
5810 Wisteria Dr,3,3,2634,1995,yes,549900,Colorado Springs,208.77
2622 Rockhurst Blvd,4,5,5308,2006,yes,1300000,Colorado Springs,244.91
2770 Larzac Dr,3,3,2265,2020,yes,525000,Colorado Springs,231.79
7415 Raintree Dr,4,3,3208,1981,yes,725000,Colorado Springs,226.0
Glenwood by Bonnavilla Plan in Build on Your Lot by Seeger Homes by Seeger Homes,3,2,1661,2023,no,347821,Colorado Springs,209.4
408 Pine Ave,3,3,3214,1959,yes,775000,Colorado Springs,241.13
Urban - Providence II Plan in Timber Ridge by Classic Homes,4,3,2744,2023,yes,557500,Colorado Springs,203.17
751 Crown Ridge Dr,3,2,1800,1971,yes,589900,Colorado Springs,327.72
2411 W  Colorado Ave #202,2,1,1293,2008,yes,525000,Colorado Springs,406.03
2805 Casden Cir,3,1,1424,1959,no,285000,Colorado Springs,200.14
7128 Cowgirl Way,3,3,2709,2005,yes,480000,Colorado Springs,177.19
6962 Maidford Dr,5,3,2428,2021,yes,490000,Colorado Springs,201.81
812 E  Cucharras St,3,1,972,1903,yes,380000,Colorado Springs,390.95
2333 N  Logan Ave,3,2,1133,1951,yes,485000,Colorado Springs,428.07
10678 Forest Creek Dr,2,2,3300,2015,yes,598636,Colorado Springs,181.4
5006 Galena Dr,3,2,2080,1971,yes,425000,Colorado Springs,204.33
6977 Prince Dr,4,3,2076,1967,yes,529900,Colorado Springs,255.25
7623 Canyon Oak Dr,3,3,2480,2006,yes,525000,Colorado Springs,211.69
8078 Radcliff Dr,4,3,2420,1998,yes,485000,Colorado Springs,200.41
419 Kinnikinnik Dr,5,2,3078,1954,yes,619900,Colorado Springs,201.4
Coral Plan in Hansen Ranch by Richmond American Homes,3,3,1831,2023,no,458950,Colorado Springs,250.66
Carlton II Plan in TimberRidge by Vantage Homes,6,5,3582,2023,yes,681200,Colorado Springs,190.17
Dunham Plan in Village Cooperative of Ute Valley (Active Adults 62+) by Village Cooperative,2,1,1306,2023,no,225000,Colorado Springs,172.28
1233 Terrace Rd,2,2,1854,1967,yes,600000,Colorado Springs,323.62
Ellingwood Plan in Revel at Wolf Ranch by Toll Brothers,3,3,4017,2023,no,642995,Colorado Springs,160.07
Capstone Plan in Wolf Ranch by Classic Homes,5,4,2991,2023,no,585300,Colorado Springs,195.69
12615 Porcupine Ln,5,3,3640,2013,yes,1200000,Colorado Springs,329.67
3695 Needles Dr,4,3,4048,1979,yes,847000,Colorado Springs,209.24
9547 Dewitt Dr,4,3,3340,2020,yes,694900,Colorado Springs,208.05
1102 Swope Ave,2,2,1052,1937,yes,335000,Colorado Springs,318.44
Biloxi Plan in TimberRidge by Vantage Homes,5,5,3789,2023,yes,689000,Colorado Springs,181.84
228 E  Las Vegas St,3,1,1522,1903,yes,180000,Colorado Springs,118.27
11884 Hawk Stone Dr,5,4,4546,2022,yes,1017000,Colorado Springs,223.71
9596 Lizard Rock Trl,3,3,3748,2006,yes,709000,Colorado Springs,189.17
220 Plan in Hannah Ridge by Classic Homes,2,2,1304,2023,no,457386,Colorado Springs,350.76
1416 Willshire Dr,3,1,792,1967,yes,330000,Colorado Springs,416.67
6455 Vistancia Ave,4,3,3094,2023,yes,678181,Colorado Springs,219.19
6715 Fielding Cir,3,2,1427,1973,yes,388000,Colorado Springs,271.9
5606 Dusty Chaps Dr,4,3,3171,2003,yes,585000,Colorado Springs,184.48
5309 Artistic Cir,5,3,2318,1978,yes,459000,Colorado Springs,198.02
6449 Vistancia Ave,4,3,2850,2023,yes,632232,Colorado Springs,221.84
Fresco Plan in Revel at Wolf Ranch by Toll Brothers,2,2,3554,2023,no,636995,Colorado Springs,179.23
9241 Galley Pl,3,4,4326,2023,yes,905675,Colorado Springs,209.36
5806 Callan Dr,3,3,2570,2021,yes,480000,Colorado Springs,186.77
4118 McPherson Ct,4,4,3481,1984,yes,550000,Colorado Springs,158.0
11147 Fossil Dust Dr,4,3,3198,2020,yes,640000,Colorado Springs,200.13
Ashford Type-A Plan in Village Cooperative of Ute Valley (Active Adults 62+) by Village Cooperative,1,1,890,2023,no,142000,Colorado Springs,159.55
9443 Cashel Trl,3,3,1642,2020,yes,399900,Colorado Springs,243.54
The Matterhorn Plan in Revel at Wolf Ranch by Challenger Homes,4,3,3864,2023,no,542900,Colorado Springs,140.5
2018 Wynkoop Dr,3,3,2383,1962,yes,420000,Colorado Springs,176.25
Lot 1 Canonwood Rd,2,1,1064,1910,yes,1950000,Colorado Springs,1832.71
Sierra Plan in Wolf Ranch by Classic Homes,6,4,3339,2023,no,595800,Colorado Springs,178.44
Chestnut by Bonnavilla Plan in Build on Your Lot by Seeger Homes by Seeger Homes,3,2,1543,2023,no,337461,Colorado Springs,218.7
13753 Sand Cherry Pl,7,5,5160,2003,yes,949000,Colorado Springs,183.91
The Elbert Plan in Chapel Heights by Challenger Homes,4,3,1949,2023,no,419900,Colorado Springs,215.44
6630 Vistancia Ave,4,3,3094,2022,yes,642398,Colorado Springs,207.63
4975 Cliff Point Cir E,3,3,2994,1983,yes,875000,Colorado Springs,292.25
4514 Crow Creek Dr,3,3,1354,2004,yes,455900,Colorado Springs,336.71
17629 Emerson Cliff Ct,4,5,4748,2023,yes,1596737,Colorado Springs,336.3
3359 W  Bijou St,4,2,2016,1966,yes,500000,Colorado Springs,248.02
917 E  Saint Vrain St,2,1,1244,1925,yes,395000,Colorado Springs,317.52
16 Leaming Rd,3,3,3206,1966,yes,985000,Colorado Springs,307.24
The Weisshorn Plan in Revel at Wolf Ranch by Challenger Homes,4,3,3626,2023,no,537900,Colorado Springs,148.35
Grandview Plan in Wolf Ranch by Classic Homes,2,2,4834,2023,yes,759500,Colorado Springs,157.12
Urban - Parade Plan in Timber Ridge by Classic Homes,4,3,2978,2023,no,597800,Colorado Springs,200.74
Sojourner Plan in The Retreat in Banning Lewis Ranch by OakwoodLife,2,2,1409,2023,no,440990,Colorado Springs,312.98
Pathfinder Plan in The Retreat in Banning Lewis Ranch by OakwoodLife,2,2,1877,2023,no,482990,Colorado Springs,257.32
Traveler Plan in The Retreat in Banning Lewis Ranch by OakwoodLife,2,2,1502,2023,no,450990,Colorado Springs,300.26
