Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Price,Location
1443 Elbridge St,4 Beds,2 Baths,"1,332 sqft",Year Built: 1950,Garage,,Philadelphia
6518 Horrocks St,3 Beds,2 Baths,"1,120 sqft",Year Built: 1948,1 Car Garage,"$210,000",Philadelphia
4113 Gilham St,3 Beds,1 Bath,960 sqft,Year Built: 1950,1 Car Garage,"$175,000",Philadelphia
8779 Ashton Rd,,,,,No Info,"$139,999",Philadelphia
9225 Wooden Bridge Rd,3 Beds,1 Bath,"1,575 sqft",Year Built: 1950,1 Car Garage,"$334,900",Philadelphia
448 E  Mechanic St,3 Beds,1 Bath,"1,232 sqft",Year Built: 1900,None,"$185,000",Philadelphia
138 W  Spencer St,3 Beds,1 Bath,"1,140 sqft",Year Built: 1935,1 Car Garage,"$239,000",Philadelphia
2016 Lardner St,3 Beds,1 Bath,"1,176 sqft",Year Built: 1950,1 Car Garage,"$239,900",Philadelphia
6337 Mershon St,3 Beds,1 Bath,"1,108 sqft",Year Built: 1950,1 Car Garage,"$139,900",Philadelphia
211 Nauldo Rd,3 Beds,2 Baths,"1,360 sqft",Year Built: 1970,1 Car Garage,"$325,000",Philadelphia
2609 W  Montgomery Ave,5 Beds,2 Baths,"1,398 sqft",Year Built: 1915,Open Parking,"$84,000",Philadelphia
4814 Chester Ave,3 Beds,3 Baths,"2,700 sqft",Year Built: 1925,Open Parking,"$730,000",Philadelphia
1414 S  Penn Sq   W  #2,5 Beds,7 Baths,"9,515 sqft",Year Built: 2009,4 Car Garage,"$17,127,000",Philadelphia
1314 N  Marston St,30 Beds,,"19,200 sqft",Year Built: 2023,Garage,"$6,100,000",Philadelphia
1717 Mifflin St,3 Beds,4 Baths,"1,584 sqft",Year Built: 1920,Open Parking,"$375,000",Philadelphia
3231 Mercer St,2 Beds,2 Baths,"1,800 sqft",Year Built: 2023,1 Carport Spaces,"$449,900",Philadelphia
3229 Mercer St,3 Beds,3 Baths,"3,050 sqft",Year Built: 2023,1 Car Garage,"$569,900",Philadelphia
2007 Walnut St,12 Beds,,"11,334 sqft",Year Built: 1900,Parking Lot,"$7,000,000",Philadelphia
11 N  2nd St   #204,1 Bed,1 Bath,789 sqft,Year Built: 1900,None,"$299,999",Philadelphia
1900 Rittenhouse Sq   #PENTHOUSE,3 Beds,4 Baths,"3,500 sqft",Year Built: 1928,None,"$3,300,000",Philadelphia
614 N  Union St   #B,6 Beds,6 Baths,"2,800 sqft",,Open Parking,"$745,000",Philadelphia
2519 E  Monmouth St,,,,,No Info,"$775,000",Philadelphia
3132 Cecil B Moore Ave,5 Beds,,"1,944 sqft",Year Built: 1915,Open Parking,"$140,000",Philadelphia
1816 N  Ringgold St,5 Beds,2 Baths,"1,336 sqft",Year Built: 1915,Open Parking,"$84,000",Philadelphia
2042 Amber St   #103,1 Bed,1 Bath,"1,060 sqft",Year Built: 2011Year Renovated: 2011,None,"$345,000",Philadelphia
500 Walnut St   #1400,3 Beds,4 Baths,"4,300 sqft",Year Built: 2017,2 Car Garage,"$6,500,000",Philadelphia
1102 N  2nd St   #A,3 Beds,2 Baths,"1,266 sqft",Year Built: 2022,28 Car Garage,"$545,000",Philadelphia
224 W Rittenhouse Square #2606,2 Beds,2 Baths,"1,231 sqft",Year Built: 1970Year Renovated: 2018,No Info,"$1,200,000",Philadelphia
1325 Buttonwood St,5 Beds,,"3,017 sqft",Year Built: 2020,Open Parking,"$875,000",Philadelphia
327 N  Preston St,6 Beds,3 Baths,"2,732 sqft",Year Built: 1915Year Renovated: 2019,Open Parking,"$529,900",Philadelphia
Cumberland Street #4 Plan in Letterland Court by Jim Roche Real Estate Team,3 Beds,4 Baths,"3,020 sqft",Year Built: 2023,Garage,"$949,000+",Philadelphia
West Point Plan in North Liberty Triangle by Streamline,2 Beds,2 Baths,"1,105 sqft",Year Built: 2023,No Info,"$572,000+",Philadelphia
Jameson Model #2 Plan in Regent Row by Jim Roche Real Estate Team,3 Beds,3 Baths,"2,673 sqft",Year Built: 2023,Garage,"$759,900+",Philadelphia
Moyer Plan in Toll Brothers at Northbank by Toll Brothers,3 Beds,3 Baths,"2,406 sqft",Year Built: 2023,No Info,"$759,995+",Philadelphia
Francesca Plan in Siena Place by Judd Builders and Developers,3 Beds,3 Baths,"2,885 sqft",Year Built: 2023,No Info,"$645,900+",Philadelphia
406 N  Hobart St,3 Beds,1 Bath,"1,134 sqft",Year Built: 1920,Open Parking,"$115,000",Philadelphia
645 Lombard St,4 Beds,5 Baths,"2,388 sqft",Year Built: 1973,1 Parking Spaces,"$849,900",Philadelphia
1930 W  Westmoreland St,3 Beds,1 Bath,"1,358 sqft",Year Built: 1925,Open Parking,"$160,000",Philadelphia
216 W  Penn St,6 Beds,3 Baths,"1,920 sqft",Year Built: 1900,Open Parking,"$310,000",Philadelphia
166 W  School House Ln,5 Beds,3 Baths,"3,183 sqft (on 0.28 acres)",Year Built: 1900,Garage,"$559,000",Philadelphia
2460 N  19th St,4 Beds,3 Baths,"1,927 sqft",Year Built: 1915,Open Parking,"$309,995",Philadelphia
6418 N  Norwood St,3 Beds,1 Bath,"1,056 sqft",Year Built: 1925,Open Parking,"$170,000",Philadelphia
2242 N  Mascher St,2 Beds,2 Baths,"1,116 sqft",Year Built: 1920,Open Parking,"$215,000",Philadelphia
6946 Pawling St,4 Beds,2 Baths,"1,272 sqft",Year Built: 1960,Open Parking,"$380,000",Philadelphia
113 E  Cliveden St,Studio,1 Bath,"3,440 sqft (on 0.25 acres)",Year Built: 1925,Open Parking,"$450,000",Philadelphia
61 E  Hortter St,3 Beds,1 Bath,"1,216 sqft",Year Built: 1925,Open Parking,"$195,000",Philadelphia
1677 Margaret St,3 Beds,3 Baths,"2,084 sqft",Year Built: 1925,3 Open Spaces,"$250,000",Philadelphia
5215 Whitaker Ave,3 Beds,2 Baths,"1,881 sqft",Year Built: 1940,1 Car Garage,"$269,000",Philadelphia
3152 Memphis St,3 Beds,1 Bath,948 sqft,Year Built: 1925,Open Parking,"$55,000",Philadelphia
3027 Cambridge St,2 Beds,1 Bath,914 sqft,Year Built: 1925,Open Parking,"$319,900",Philadelphia
1345 N  Myrtlewood St,3 Beds,1 Bath,968 sqft,Year Built: 1925,Open Parking,"$225,000",Philadelphia
2447 Tulip St,2 Beds,1 Bath,"1,024 sqft",Year Built: 1875,Open Parking,"$325,000",Philadelphia
