Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Price,Location
265 Raven Hills Rd,4 Beds,3 Baths,"2,501 sqft",Year Built: 1971,2 Car Garage,"$575,000",Colorado Springs
1055 Bayfield Dr,4 Beds,3 Baths,"3,490 sqft",Year Built: 2005,2 Car Garage,"$725,000",Colorado Springs
602 E  San Miguel St,2 Beds,1 Bath,"1,084 sqft",Year Built: 1904,No Info,"$389,999",Colorado Springs
3405 Sinton Rd #193,3 Beds,3 Baths,"1,468 sqft",Year Built: 1978,2 Carport Spaces,"$130,000",Colorado Springs
2490 Marston Hts,5 Beds,3 Baths,"3,248 sqft",Year Built: 1997,2 Car Garage,"$664,000",Colorado Springs
3008 Springdowns Pl,4 Beds,4 Baths,"3,703 sqft (on 0.35 acres)",Year Built: 1978,3 Car Garage,"$1,000,000",Colorado Springs
2222 E  Fountain Blvd,3 Beds,1 Bath,"1,440 sqft",Year Built: 1968,1 Car Garage,"$350,000",Colorado Springs
2055 N  Academy Blvd,3 Beds,2 Baths,"1,820 sqft",Year Built: 1976,2 Car Garage,"$330,000",Colorado Springs
4625 N Carefree Circle,8 Beds,4 Baths,"3,088 sqft",Year Built: 1972,8 Parking Spaces,"$999,995",Colorado Springs
6463 Shimmering Creek Dr,4 Beds,4 Baths,"2,394 sqft",Year Built: 2004,2 Car Garage,"$482,900",Colorado Springs
1822 Pejn Ave,3 Beds,3 Baths,"1,590 sqft (on 0.35 acres)",Year Built: 1966,1 Car Garage,"$469,999",Colorado Springs
3850 Zurich Dr,3 Beds,3 Baths,"1,974 sqft",Year Built: 1986,2 Car Garage,"$450,000",Colorado Springs
2948 Tenderfoot Hill St,3 Beds,4 Baths,"2,808 sqft",Year Built: 1985,2 Car Garage,"$599,000",Colorado Springs
6877 Simcoe Dr,5 Beds,4 Baths,"3,373 sqft",Year Built: 2018,3 Car Garage,"$625,000",Colorado Springs
6935 Blazing Trail Dr,5 Beds,4 Baths,"2,877 sqft",Year Built: 1996,2 Car Garage,"$515,000",Colorado Springs
8611 Tranquil Knoll Ln,5 Beds,4 Baths,"3,582 sqft",Year Built: 2017,3 Car Garage,"$665,000",Colorado Springs
9188 Baltin Ct,3 Beds,3 Baths,"2,570 sqft",Year Built: 2020,3 Car Garage,"$490,000",Colorado Springs
24 Mayflower Park Pl,4 Beds,4 Baths,"3,229 sqft",Year Built: 2020,2 Car Garage,"$699,900",Colorado Springs
8264 Horn Run Rd,5 Beds,4 Baths,"3,161 sqft",Year Built: 1996,3 Car Garage,"$575,000",Colorado Springs
3907 Smoke Tree Dr,4 Beds,3 Baths,"1,840 sqft",Year Built: 1986,Garage,"$350,000",Colorado Springs
2021 S  Corona Ave,2 Beds,1 Bath,796 sqft,Year Built: 1952,Garage,"$250,000",Colorado Springs
4427 Dewey Dr,4 Beds,2 Baths,"1,824 sqft",Year Built: 1970,1 Car Garage,"$359,900",Colorado Springs
4940 Beechvale Dr,4 Beds,2 Baths,"1,975 sqft",Year Built: 1997,2 Car Garage,"$439,000",Colorado Springs
7138 Oak Valley Dr,4 Beds,3 Baths,"3,027 sqft (on 0.60 acres)",Year Built: 2001,3 Car Garage,"$750,000",Colorado Springs
220 Silver Spring Dr,4 Beds,4 Baths,"2,620 sqft",Year Built: 1981,2 Car Garage,"$655,000",Colorado Springs
2355 Stratton Forest Hts,4 Beds,7 Baths,"9,344 sqft (on 1.17 acres)",Year Built: 2003,3 Car Garage,"$3,500,000",Colorado Springs
102 Luxury Ln,4 Beds,3 Baths,"2,528 sqft",Year Built: 1994,2 Car Garage,"$430,000",Colorado Springs
6209 Miramont St,3 Beds,2 Baths,"1,152 sqft",Year Built: 2001,2 Car Garage,"$400,000",Colorado Springs
1501 Rosemont Dr,3 Beds,2 Baths,"1,366 sqft",Year Built: 1958,1 Car Garage,"$360,000",Colorado Springs
7627 Red Fir Poin,3 Beds,3 Baths,"1,606 sqft",Year Built: 2019,2 Car Garage,"$365,000",Colorado Springs
9117 Castlebear Dr,3 Beds,3 Baths,"1,436 sqft",Year Built: 2021,2 Car Garage,"$405,000",Colorado Springs
7175 Baker Rd,4 Beds,3 Baths,"2,790 sqft (on 2.65 acres)",Year Built: 1974,3 Car Garage,"$800,000",Colorado Springs
7002 Bigtooth Maple Dr,4 Beds,3 Baths,"3,316 sqft",Year Built: 2021,3 Car Garage,"$524,900",Colorado Springs
13940 Westchester Dr,3 Beds,3 Baths,"2,202 sqft (on 0.49 acres)",Year Built: 1983,2 Car Garage,"$615,000",Colorado Springs
3920 S  Enoch Rd,,,,,No Info,"$210,000",Colorado Springs
388 Ellers Grove,3 Beds,2 Baths,"1,185 sqft",Year Built: 2001,1 Car Garage,"$299,900",Colorado Springs
Ethridge Plan in Trailside at Cottonwood Creek by David Weekley Homes,3 Beds,3 Baths,"2,005 sqft",Year Built: 2023,No Info,"$606,990+",Colorado Springs
Mesa Valley Rd,,,,,No Info,"$195,000",Colorado Springs
7808 Renegade Hill Dr,5 Beds,4 Baths,"3,530 sqft",Year Built: 2012,3 Car Garage,"$610,000",Colorado Springs
13455 Holmes Rd,,,,,No Info,"$625,000",Colorado Springs
10211 Desert Bloom Way,5 Beds,4 Baths,"2,676 sqft",Year Built: 2011,2 Car Garage,"$475,000",Colorado Springs
5040 Fabray Ln,5 Beds,4 Baths,"2,864 sqft",Year Built: 1994,2 Car Garage,"$485,000",Colorado Springs
3405 Sinton Road  Unit 197,3 Beds,2 Baths,"1,456 sqft",Year Built: 1977,1 Carport Spaces,"$115,000",Colorado Springs
3003 W  Uintah St,2 Beds,1 Bath,818 sqft,Year Built: 1951,1 Car Garage,"$390,000",Colorado Springs
1088 Cree Dr,3 Beds,3 Baths,"2,176 sqft",Year Built: 1966,2 Car Garage,"$380,000",Colorado Springs
11469 Rushpink St,3 Beds,3 Baths,"2,166 sqft",Year Built: 2023,2 Car Garage,"$508,170",Colorado Springs
5463 Cindy River Dr,4 Beds,4 Baths,"2,531 sqft",Year Built: 2002,2 Car Garage,"$510,000",Colorado Springs
514 Lynn Ave,3 Beds,1 Bath,894 sqft,Year Built: 1951,Garage,"$312,000",Colorado Springs
5677 Saint Patrick Vw,2 Beds,3 Baths,"1,685 sqft",Year Built: 2009,2 Car Garage,"$375,000",Colorado Springs
3225 Honeyburyl Dr,5 Beds,4 Baths,"2,704 sqft",Year Built: 1993,2 Car Garage,"$519,500",Colorado Springs
3874 Pioneer Creek Dr,3 Beds,3 Baths,"1,839 sqft (on 0.26 acres)",Year Built: 2002,2 Car Garage,"$475,000",Colorado Springs
113 Fordham St,4 Beds,2 Baths,"1,794 sqft",Year Built: 1962,1 Car Garage,"$399,000",Colorado Springs
5216 Rondo Way,4 Beds,4 Baths,"2,294 sqft",Year Built: 2000,2 Car Garage,"$425,000",Colorado Springs
111 Judson St,5 Beds,3 Baths,"2,811 sqft",Year Built: 1963,2 Car Garage,"$454,000",Colorado Springs
5016 Quarto Ln,3 Beds,3 Baths,"1,594 sqft",Year Built: 1975,2 Car Garage,"$344,900",Colorado Springs
423 Ravenview Ct,2 Beds,2 Baths,"1,472 sqft",Year Built: 1982,Garage,"$334,000",Colorado Springs
1328 Rotterdam Cir,2 Beds,1 Bath,"1,068 sqft",Year Built: 1983,Garage,"$325,000",Colorado Springs
14610 Struthers Rd,,,,,No Info,"$750,000",Colorado Springs
330 Cobblestone Dr,3 Beds,3 Baths,"2,058 sqft",Year Built: 1979,Garage,"$425,000",Colorado Springs
12152 Cline Ct,6 Beds,6 Baths,"5,694 sqft (on 0.46 acres)",Year Built: 2020,3 Car Garage,"$1,350,000",Colorado Springs
Boston Plan in Urban Collection at Palmer Village by Richmond American Homes,3 Beds,3 Baths,"1,430 sqft",Year Built: 2023,No Info,"$379,950+",Colorado Springs
5847 Tramore Ct,3 Beds,2 Baths,"1,643 sqft",Year Built: 2022,2 Car Garage,"$435,000",Colorado Springs
321 E  Willamette Ave,2 Beds,1 Bath,"1,240 sqft",Year Built: 1895,Garage,"$425,000",Colorado Springs
6940 Grand Valley Dr,5 Beds,2 Baths,"1,824 sqft",Year Built: 1984,1 Car Garage,"$405,000",Colorado Springs
3455 Antero Dr,3 Beds,2 Baths,"2,138 sqft",Year Built: 1985,2 Car Garage,"$400,000",Colorado Springs
7651 Buckeye Tree Ln,4 Beds,4 Baths,"2,693 sqft",Year Built: 2008,2 Car Garage,"$545,000",Colorado Springs
5970 Gladstone St,6 Beds,5 Baths,"4,132 sqft (on 0.55 acres)",Year Built: 2001,3 Car Garage,"$959,000",Colorado Springs
14575 Air Garden Ln,5 Beds,4 Baths,"3,338 sqft",Year Built: 2005,3 Car Garage,"$640,000",Colorado Springs
6965 Native Cir,,,,,No Info,"$150,000",Colorado Springs
302 Catalina Pl,4 Beds,2 Baths,"1,748 sqft",Year Built: 1962,2 Car Garage,"$389,000",Colorado Springs
4937 Construct Point,3 Beds,3 Baths,"1,438 sqft",Year Built: 2023,2 Car Garage,"$399,950",Colorado Springs
4915 Nolte Dr N,2 Beds,1 Bath,770 sqft,Year Built: 1982,1 Car Garage,"$330,000",Colorado Springs
2555 Grand Prix Ct,5 Beds,4 Baths,"3,188 sqft",Year Built: 2018,2 Car Garage,"$589,900",Colorado Springs
4408 Bramble Ln,3 Beds,3 Baths,"2,614 sqft",Year Built: 1995,2 Car Garage,"$385,000",Colorado Springs
1261 Willow Bend Cir #D,3 Beds,2 Baths,"1,476 sqft",Year Built: 1973,Garage,"$325,000",Colorado Springs
1520 E  Owen Cir,5 Beds,3 Baths,"2,005 sqft",Year Built: 1968,1 Car Garage,"$450,000",Colorado Springs
2730 King St,3 Beds,3 Baths,"2,653 sqft (on 0.25 acres)",Year Built: 1960,Garage,"$615,000",Colorado Springs
7101 Boreal Dr,3 Beds,2 Baths,"1,418 sqft",Year Built: 2019,2 Car Garage,"$425,000",Colorado Springs
3460 Drumlin Grv,4 Beds,4 Baths,"1,932 sqft",Year Built: 2022,2 Car Garage,"$529,990",Colorado Springs
3641 Levy Park Dr,2 Beds,3 Baths,"1,255 sqft",Year Built: 2023,2 Car Garage,"$374,900",Colorado Springs
214 Security Blvd,3 Beds,2 Baths,"1,702 sqft (on 0.34 acres)",Year Built: 1954,Garage,"$365,000",Colorado Springs
3643 Moon River Dr,3 Beds,3 Baths,"1,508 sqft",Year Built: 2023,2 Car Garage,"$408,526",Colorado Springs
3496 Drumlin Grv,3 Beds,4 Baths,"1,812 sqft",Year Built: 2023,2 Car Garage,"$579,990",Colorado Springs
2430 Palmer Park Blvd #210,2 Beds,1 Bath,714 sqft,Year Built: 1982,Garage,"$175,000",Colorado Springs
6670 John Muir Trl,3 Beds,3 Baths,"2,294 sqft",Year Built: 2016,2 Car Garage,"$519,000",Colorado Springs
2060 Sarsi Dr,4 Beds,3 Baths,"1,920 sqft",Year Built: 1984,Garage,"$465,000",Colorado Springs
7071 Passing Sky Dr,3 Beds,2 Baths,"3,030 sqft",Year Built: 2021,2 Car Garage,"$490,000",Colorado Springs
2495 Obsidian Forest Vw,3 Beds,3 Baths,"1,870 sqft",Year Built: 2006,Garage,"$389,900",Colorado Springs
2607 Gobi Dr,3 Beds,2 Baths,"1,418 sqft",Year Built: 2020,2 Car Garage,"$450,000",Colorado Springs
1530 Robidoux Circle,4 Beds,3 Baths,"2,138 sqft",Year Built: 1969,2 Car Garage,"$350,000",Colorado Springs
2047 N Academy Boulevard,2 Beds,2 Baths,"1,820 sqft",Year Built: 1977,2 Car Garage,"$335,000",Colorado Springs
346 Jewel St,3 Beds,1 Bath,"1,010 sqft",Year Built: 1965,1 Car Garage,"$389,900",Colorado Springs
3375 Mira Loma Ct,3 Beds,2 Baths,"1,560 sqft",Year Built: 1971,2 Car Garage,"$425,000",Colorado Springs
229 Jasper Drive,2 Beds,1 Bath,"1,068 sqft",Year Built: 1956,1 Car Garage,"$325,000",Colorado Springs
10657 Castor Dr,3 Beds,3 Baths,"1,569 sqft",Year Built: 2021,2 Car Garage,"$432,000",Colorado Springs
17210 Papago Way,5 Beds,4 Baths,"4,708 sqft (on 5.05 acres)",Year Built: 2013,4 Car Garage,"$1,050,000",Colorado Springs
3414 W  Pikes Peak Ave,3 Beds,2 Baths,"1,852 sqft",Year Built: 1920,Garage,"$474,900",Colorado Springs
22 Oak Ave,4 Beds,2 Baths,"3,187 sqft (on 0.26 acres)",Year Built: 1953,2 Car Garage,"$725,000",Colorado Springs
1954 Lone Willow Vw,4 Beds,3 Baths,"2,768 sqft",Year Built: 2022,2 Car Garage,"$795,000",Colorado Springs
804 N  Wahsatch Ave,3 Beds,2 Baths,"2,106 sqft",Year Built: 1928,Garage,"$640,000",Colorado Springs
6435 Mohican Dr,3 Beds,2 Baths,"1,271 sqft",Year Built: 1985,2 Car Garage,"$389,000",Colorado Springs
