Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Price,Location
2926 Forest Manor Ave,3 Beds,1 Bath,864 sqft,Year Built: 1911,Garage,"$85,000",Indianapolis
8820 Yardley Ct #208,2 Beds,2 Baths,"1,070 sqft",Year Built: 1993,No Info,"$159,900",Indianapolis
2169 Kildare Ave,2 Beds,1 Bath,"1,544 sqft",Year Built: 1940,Garage,"$152,000",Indianapolis
4741 Bridgefield Dr,2 Beds,2 Baths,"1,312 sqft",Year Built: 1998,2 Car Garage,"$180,000",Indianapolis
Grandover Plan in Edgewood Farms by D.R. Horton - Indianapolis,3 Beds,3 Baths,"2,141 sqft",Year Built: 2023,No Info,"$400,000+",Indianapolis
1645 Cruft St,2 Beds,1 Bath,768 sqft,Year Built: 1955,Garage,"$119,000",Indianapolis
7777 Holliday Dr W,5 Beds,5 Baths,"5,024 sqft (on 0.85 acres)",Year Built: 1953,3 Car Garage,"$1,250,000",Indianapolis
737 Wallace Ave,3 Beds,2 Baths,"2,376 sqft",Year Built: 1930,Garage,"$224,900",Indianapolis
8355 Fieldfare Way,,,,,No Info,"$40,000",Indianapolis
863 Indigo Way  #A,3 Beds,2 Baths,"1,745 sqft",Year Built: 1979,No Info,"$160,000",Indianapolis
2804 N  Rouark Cir,3 Beds,2 Baths,"2,025 sqft",Year Built: 1973,2 Car Garage,"$164,000",Indianapolis
3535 Woodale Rd,3 Beds,2 Baths,"1,584 sqft (on 0.46 acres)",Year Built: 1965,Garage,"$245,000",Indianapolis
8815 Ellington Dr,4 Beds,3 Baths,"3,072 sqft (on 0.33 acres)",Year Built: 1969,2 Car Garage,"$295,000",Indianapolis
11805 E  62nd St,Studio,,,,No Info,"$3,000,000",Indianapolis
8025 Stafford Ct,4 Beds,3 Baths,"2,383 sqft (on 0.30 acres)",Year Built: 1969,2 Car Garage,"$349,900",Indianapolis
8504 Ironcrest Dr,4 Beds,4 Baths,"4,912 sqft (on 0.28 acres)",Year Built: 2022,3 Car Garage,"$725,000",Indianapolis
Harmony Plan in Fields at New Bethel by D.R. Horton - Indianapolis,3 Beds,2 Baths,"1,498 sqft",Year Built: 2023,No Info,"$315,000+",Indianapolis
McKinley Plan in Trotters Landing by D.R. Horton - Indianapolis,4 Beds,3 Baths,"2,430 sqft",Year Built: 2023,No Info,"$444,900+",Indianapolis
420 E  Ohio St   #C,1 Bed,1 Bath,892 sqft,Year Built: 2002,1 Car Garage,"$248,900",Indianapolis
5626 Boy Scout Rd,4 Beds,3 Baths,"3,448 sqft (on 0.62 acres)",Year Built: 1970,2 Car Garage,"$325,000",Indianapolis
41 N  Euclid Ave,6 Beds,3 Baths,,Year Built: 1920,No Info,"$199,900",Indianapolis
2861 Mozart Way,3 Beds,3 Baths,"1,520 sqft",Year Built: 2006,2 Car Garage,"$230,000",Indianapolis
6655 Kinnerton Dr,3 Beds,3 Baths,"1,646 sqft",Year Built: 1997,2 Car Garage,"$249,900",Indianapolis
R1900 Plan in The Overlook at Central State by M/I Homes,3 Beds,3 Baths,"1,912 sqft",Year Built: 2023,No Info,"$315,990+",Indianapolis
1210 N  Tremont St,2 Beds,1 Bath,"1,850 sqft",Year Built: 1961,Open Parking,"$80,000",Indianapolis
3027 Guilford Ave,3 Beds,3 Baths,"1,588 sqft",Year Built: 1920,No Info,"$239,900",Indianapolis
8053 Pavilion Ct,4 Beds,3 Baths,"1,995 sqft",Year Built: 2014,2 Car Garage,"$300,000",Indianapolis
1218 Bacon St,2 Beds,1 Bath,"1,418 sqft",Year Built: 1900,Open Parking,"$149,900",Indianapolis
5131 Gray Wood Ct,3 Beds,3 Baths,"1,908 sqft",Year Built: 2012,2 Car Garage,"$205,000",Indianapolis
6048 Powell Dr,3 Beds,2 Baths,"1,226 sqft (on 0.38 acres)",Year Built: 1973,2 Car Garage,"$229,900",Indianapolis
5560 N  Pennsylvania St,4 Beds,5 Baths,"4,664 sqft",Year Built: 1936,2 Car Garage,"$920,000",Indianapolis
3640 N  Butler Ave,4 Beds,2 Baths,"1,314 sqft",Year Built: 1967,Garage,"$195,000",Indianapolis
Campton Plan in Edgewood Farms by D.R. Horton - Indianapolis,5 Beds,3 Baths,"3,032 sqft",Year Built: 2023,No Info,"$450,000+",Indianapolis
8114 Parcrest Ct,4 Beds,3 Baths,"4,135 sqft (on 0.37 acres)",Year Built: 2008,3 Car Garage,"$440,000",Indianapolis
5125 Riverview Dr,5 Beds,3 Baths,"3,140 sqft (on 0.51 acres)",Year Built: 1950,2 Car Garage,"$415,000",Indianapolis
10426 Northern Dancer Dr,3 Beds,3 Baths,"1,960 sqft",Year Built: 2003,2 Car Garage,"$295,000",Indianapolis
263 Parkview Ave,3 Beds,3 Baths,"2,500 sqft",Year Built: 1920,No Info,"$295,000",Indianapolis
1126 N  Rochester Ave,2 Beds,1 Bath,"1,248 sqft",Year Built: 1948,No Info,"$119,900",Indianapolis
341 S  Oakland Ave,2 Beds,1 Bath,720 sqft,Year Built: 1950,Garage,"$115,000",Indianapolis
5786 N  Delaware St,4 Beds,2 Baths,"3,618 sqft",Year Built: 1928,Garage,"$525,000",Indianapolis
3932 Gray Pond Ct,2 Beds,2 Baths,"1,180 sqft",Year Built: 2003,2 Car Garage,"$214,900",Indianapolis
