Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Price,Location
9325 Forgotten Creek Dr,,,,,No Info,"$825,000",Indianapolis
1101 W  91st St,,,,Year Built: 1961,2 Car Garage,"$609,900",Indianapolis
2132 Bellefontaine St,,,,Year Built: 1910,2 Parking Spaces,"$350,000",Indianapolis
4345 Kentucky Ave,,,,Year Built: 1983,2 Car Garage,"$345,000",Indianapolis
573 Lynn St,,,,Year Built: 1930,None,"$79,400",Indianapolis
4111 Vera Dr,,,,Year Built: 1955,1 Car Garage,"$274,000",Indianapolis
,,,,,,,Indianapolis
4441 Bow Ridge Ln,,,,Year Built: 2010,2 Car Garage,"$340,000",Indianapolis
1603 Hoyt Ave,,,,Year Built: 1920,Garage,"$200,000",Indianapolis
8904 Twain Ln,,,,Year Built: 2023,2 Car Garage,"$305,000",Indianapolis
8902 Twain Ln,,,,Year Built: 2023,2 Car Garage,"$300,000",Indianapolis
4333 Indigo Walk Ln,,,,Year Built: 2021,2 Car Garage,"$299,999",Indianapolis
,,,,,,,Indianapolis
6709 Moss Ct,,,,Year Built: 1994,2 Car Garage,"$469,900",Indianapolis
8908 Twain Ln,,,,Year Built: 2023,2 Car Garage,"$315,000",Indianapolis
3211 Boulevard Pl,,,,Year Built: 1920,No Info,"$299,000",Indianapolis
1705 S  Delaware St,,,,Year Built: 1910,Garage,"$234,900",Indianapolis
,,,,,,,Indianapolis
10033 Alexia Dr,,,,Year Built: 1995,2 Car Garage,"$270,000",Indianapolis
3850 N  Kenwood Ave,,,,Year Built: 1912,2 Car Garage,"$199,990",Indianapolis
5440 E  75th St,,,,Year Built: 1930,3 Car Garage,"$1,950,000",Indianapolis
,,,,,,,Indianapolis
226 Parkview Ave,,,,Year Built: 1910,Open Parking,"$199,000",Indianapolis
4254 Ballybay Ln,,,,Year Built: 2007,2 Car Garage,"$365,000",Indianapolis
908 Saint Peter St,,,,Year Built: 1905,Garage,"$369,000",Indianapolis
358 S  Downey Ave,,,,Year Built: 1901,Garage,"$350,000",Indianapolis
537 N  Tacoma Ave,,,,Year Built: 1900,No Info,"$364,900",Indianapolis
Crossroads 2306 Plan in Parks at Glen Ridge by Pyatt Builders,,,,Year Built: 2023,Garage,"$395,000+",Indianapolis
Crossroads 1942 Plan in Parks at Glen Ridge by Pyatt Builders,,,,Year Built: 2023,Garage,"$380,000+",Indianapolis
,,,,,,,Indianapolis
,,,,,,,Indianapolis
,,,,,,,Indianapolis
Crossroads 2474 Plan in Parks at Glen Ridge by Pyatt Builders,,,,Year Built: 2023,Garage,"$405,000+",Indianapolis
Crossroads 1867 Plan in Parks at Glen Ridge by Pyatt Builders,,,,Year Built: 2023,No Info,"$375,000+",Indianapolis
Crossroads 1760 Plan in Parks at Glen Ridge by Pyatt Builders,,,,Year Built: 2023,Garage,"$370,000+",Indianapolis
,,,,,,,Indianapolis
Crossroads 1859 Plan in Parks at Glen Ridge by Pyatt Builders,,,,Year Built: 2023,Garage,"$375,000+",Indianapolis
Crossroads 2467 Plan in Parks at Glen Ridge by Pyatt Builders,,,,Year Built: 2023,Garage,"$405,000+",Indianapolis
,,,,,,,Indianapolis
,,,,,,,Indianapolis
1015 Harlan St,,,,Year Built: 1910,Garage,"$347,000",Indianapolis
1101 N  Beville Ave,,,,Year Built: 1901,No Info,"$299,900",Indianapolis
